Latitude,Longitude,Desc
34.02460818276136, -118.28559155039133,Insomnia Cookies
34.02537001359202, -118.28525268015703,USC Village Fountain
34.02484509773376, -118.28943742136676,Jefferson Parking Structure
34.02377849820277, -118.28809025236451,Sitting Area Aquatics Center
34.02090030045081, -118.28289812638427, Leavey Lawn
34.020182184844934, -118.28369884564277, Dohney Library
34.01970507233271, -118.2887938917776, Science Library
34.01983994059358, -118.28977729312743, RTH Lunch Area
34.020057791004554, -118.29052502767503, USC School of Gerentology
34.020822349318024, -118.28698160971608, Wallis Annenberg Hall